Ann‚e faits;Montant total;Date faits;Cat‚gorie;Langue;RŠglement;Infractions;Lieu
2020;58,00 ?;05-03-20;Stationnement;Fran‡ais;REGLEMENT GENERAL DE POLICE COMMUN AUX 19 COMMUNES BRUXELLOISES;77.5;Rue Jules Cockx, 9 1160 AUDERGHEM
2020;58,00 ?;05-03-20;Stationnement;Fran‡ais;REGLEMENT GENERAL DE POLICE COMMUN AUX 19 COMMUNES BRUXELLOISES;77.5;Rue Jules Cockx, 9 1160 AUDERGHEM
2020;58,00 ?;05-03-20;Stationnement;Fran‡ais;REGLEMENT GENERAL DE POLICE COMMUN AUX 19 COMMUNES BRUXELLOISES;77.5;Rue Jules Cockx, 9 1160 AUDERGHEM
2020;58,00 ?;05-03-20;Stationnement;Fran‡ais;REGLEMENT GENERAL DE POLICE COMMUN AUX 19 COMMUNES BRUXELLOISES;77.5;Rue Jules Cockx 9, 1160 AUDERGHEM
2020;58,00 ?;05-03-20;Stationnement;N‚erlandais;REGLEMENT GENERAL DE POLICE COMMUN AUX 19 COMMUNES BRUXELLOISES;77.5;Jules Cockxstraat, 9 1160 AUDERGHEM
2020;58,00 ?;05-03-20;Stationnement;Fran‡ais;REGLEMENT GENERAL DE POLICE COMMUN AUX 19 COMMUNES BRUXELLOISES;77.5;Rue Jules Cockx, 9 1160 AUDERGHEM
2020;58,00 ?;05-03-20;Stationnement;Fran‡ais;REGLEMENT GENERAL DE POLICE COMMUN AUX 19 COMMUNES BRUXELLOISES;77.5;Rue Jules Cockx, 9 1160 AUDERGHEM
2020;58,00 ?;05-03-20;Stationnement;Fran‡ais;REGLEMENT GENERAL DE POLICE COMMUN AUX 19 COMMUNES BRUXELLOISES;77.5;Rue Jules Cockx, 9 1160 AUDERGHEM
2020;58,00 ?;05-03-20;Stationnement;Fran‡ais;REGLEMENT GENERAL DE POLICE COMMUN AUX 19 COMMUNES BRUXELLOISES;77.5;Rue Jules Cockx, 9 1160 AUDERGHEM
2020;58,00 ?;05-03-20;Stationnement;Fran‡ais;REGLEMENT GENERAL DE POLICE COMMUN AUX 19 COMMUNES BRUXELLOISES;77.5 + 121;Avenue G. E. Lebon dans le parking F8, 1160 AUDERGHEM
2020;116,00 ?;05-03-20;Stationnement;Fran‡ais;REGLEMENT GENERAL DE POLICE COMMUN AUX 19 COMMUNES BRUXELLOISES;24.al.1 + 121;Avenue du Kouter 8, 1160 AUDERGHEM
2020;58,00 ?;05-03-20;Stationnement;Fran‡ais;REGLEMENT GENERAL DE POLICE COMMUN AUX 19 COMMUNES BRUXELLOISES;70.2.1.1ø + 121;Rue Emile Idiers F1, 1160 AUDERGHEM
2020;116,00 ?;05-03-20;Stationnement;Fran‡ais;REGLEMENT GENERAL DE POLICE COMMUN AUX 19 COMMUNES BRUXELLOISES;24.1 + 121;Chauss‚e de Wavre 1676, 1160 AUDERGHEM
2020;116,00 ?;05-03-20;Stationnement;N‚erlandais;REGLEMENT GENERAL DE POLICE COMMUN AUX 19 COMMUNES BRUXELLOISES;24.1 + 121;Waverse steenweg 1676, 1160 OUDERGEM
2020;350,00 ?;06-03-20;Administrative;Fran‡ais;REGLEMENT GENERAL DE POLICE COMMUN AUX 19 COMMUNES BRUXELLOISES;55õ1;Rue de la Vignette F107, 1160 AUDERGHEM
2020;116,00 ?;06-03-20;Stationnement;Fran‡ais;REGLEMENT GENERAL DE POLICE COMMUN AUX 19 COMMUNES BRUXELLOISES;24.al.1;Avenue des Meuniers 2A, 1160 AUDERGHEM
2020;58,00 ?;06-03-20;Stationnement;Fran‡ais;REGLEMENT GENERAL DE POLICE COMMUN AUX 19 COMMUNES BRUXELLOISES;24.al.1.7ø;Avenue des Meuniers,  1160 AUDERGHEM
2020;58,00 ?;06-03-20;Stationnement;Fran‡ais;REGLEMENT GENERAL DE POLICE COMMUN AUX 19 COMMUNES BRUXELLOISES;24.al.1.7ø;Avenue du Paepedelle , 1160 AUDERGHEM
2020;58,00 ?;07-03-20;Stationnement;Fran‡ais;REGLEMENT GENERAL DE POLICE COMMUN AUX 19 COMMUNES BRUXELLOISES;77.4;Chauss‚e de Wavre 1850, 1160 AUDERGHEM
2020;58,00 ?;07-03-20;Stationnement;N‚erlandais;REGLEMENT GENERAL DE POLICE COMMUN AUX 19 COMMUNES BRUXELLOISES;70.2.1.1ø + 121;Waverse steenweg 1854, 1160 OUDERGEM
2020;58,00 ?;07-03-20;Stationnement;N‚erlandais;REGLEMENT GENERAL DE POLICE COMMUN AUX 19 COMMUNES BRUXELLOISES;70.2.1.1ø + 121;Waverse steenweg 1854, 1160 OUDERGEM
2020;58,00 ?;08-03-20;Stationnement;Fran‡ais;REGLEMENT GENERAL DE POLICE COMMUN AUX 19 COMMUNES BRUXELLOISES;25.1.9ø;Chauss‚e de Wavre,  1160 AUDERGHEM
2020;58,00 ?;08-03-20;Stationnement;Fran‡ais;REGLEMENT GENERAL DE POLICE COMMUN AUX 19 COMMUNES BRUXELLOISES;25.1.9ø;Chauss‚e de Wavre 2217, 1160 AUDERGHEM
2020;58,00 ?;08-03-20;Stationnement;Fran‡ais;REGLEMENT GENERAL DE POLICE COMMUN AUX 19 COMMUNES BRUXELLOISES;25.1.9ø;Chauss‚e de Wavre, 2217 1160 AUDERGHEM
